,model,feat_select,n_feat,test_val,acc,acc_sd,auc,auc_sd,sens,sens_sd,spec,spec_sd,htune_val,htune_trials
33,svm,d,10,10-fold,0.6019607843,0.0899969384,0.5885515873,0.0902978131,0.7288888889,0.1623895636,0.4482142857,0.1810248132,5-fold,100
34,svm,pca,10,m-carlo,0.5958333333,0.0782955821,0.593125,0.0758694126,0.6175,0.1227695745,0.5687500000000001,0.0991327526,5-fold,100
35,svm,pca,10,10-fold,0.5797385621000001,0.12414669040000001,0.5660119048,0.1270301411,0.6766666667,0.1547997512,0.4553571429,0.2121671062,5-fold,100
38,svm,kpca,100,10-fold,0.562745098,0.0193519982,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
37,svm,kpca,10,10-fold,0.562745098,0.0193519982,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
36,svm,kpca,50,10-fold,0.562745098,0.0193519982,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
41,svm,kpca,100,5-fold,0.5625396825,0.012973217,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
40,svm,kpca,50,5-fold,0.5625396825,0.012973217,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
39,svm,kpca,10,5-fold,0.5625396825,0.012973217,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
43,svm,kpca,50,m-carlo,0.5555555556,0.0,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
44,svm,kpca,100,m-carlo,0.5555555556,0.0,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
42,svm,kpca,10,m-carlo,0.5555555556,0.0,0.5,0.0,1.0,0.0,0.0,0.0,5-fold,100
